title,description,category,resolution,priority
Oracle user permissions misconfigured for Platform Engineering,Network members have no access to required tables in DynamoDB for the sandbox environment. Discovered during failed query.,Database,"1. Review current grants for the affected database role.
2. Revoke excessive permissions immediately.
3. Grant only the minimum required permissions (principle of least privilege).
4. Create application-specific roles with scoped access.
5. Document the permission model and add to onboarding checklist.
6. Schedule quarterly access reviews.",High
CDN cache invalidation not propagating for Document Manager,"After deploying updated static assets for Admin Console, CDN (Cloudflare) is still serving stale content. Cache invalidation was triggered but has not propagated globally. Users in US West still seeing old version.",Network,"1. Verify invalidation request was submitted successfully.
2. Check invalidation status in CDN dashboard.
3. Force a wildcard invalidation if targeted invalidation isn't working.
4. Add cache-busting query parameters to asset URLs as a workaround.
5. Review cache TTL settings — reduce for frequently updated assets.
6. Implement versioned filenames for static assets.",High
VPN disconnections for remote employees,Multiple remote employees reporting Zscaler VPN disconnecting every 6 minutes. Affects 27 users across Europe region. Users lose access to internal resources. OS: macOS Ventura. Started 10 minutes ago.,Network,"1. Check VPN gateway logs for disconnect reasons.
2. Verify VPN server capacity — may need scaling.
3. Check for MTU mismatch issues — set MTU to 1400 on client.
4. Update VPN client to the latest version.
5. Check if ISP-level throttling is affecting VPN traffic.
6. Enable VPN split-tunneling to reduce gateway load.",High
Docker container crash loop on staging-log-28,Docker container for Order Management is in a crash loop (CrashLoopBackOff) on dev-web-26. Logs show: ORA-01017. Environment: staging. Restarted 46 times in the last hour.,Infrastructure,"1. Inspect container logs: `docker logs <container_id>`.
2. Check resource limits (memory/CPU) — container may be OOM killed.
3. Verify environment variables and config mounts.
4. Roll back to the previous known-good image.
5. Fix the root cause in application code and redeploy.",Critical
SSL/TLS misconfiguration on uat-cache-4,SSL Labs scan reports grade C for dev-cache-3. Issues: missing HSTS. This violates company security policy and may expose traffic to interception.,Security,"1. Disable TLS 1.0 and 1.1 — enforce TLS 1.2+ only.
2. Remove weak cipher suites (RC4, DES, export ciphers).
3. Enable HSTS with a minimum 6-month max-age.
4. Fix certificate chain — include intermediate certificates.
5. Re-scan with SSL Labs to verify grade A/A+ achieved.",Medium
WiFi connectivity issues in Building A,Multiple employees reporting WiFi dropping or slow speeds in the new building. Speed test shows 5Mbps vs expected 382Mbps. 43 users affected. AP model: Ubiquiti.,Network,"1. Check access point dashboard for the affected area.
2. Verify AP hardware status — reboot if unresponsive.
3. Check channel congestion and switch to less crowded channels.
4. Verify PoE switch is providing adequate power to the AP.
5. Deploy additional APs if coverage is insufficient.
6. Check for RF interference from nearby devices.",Medium
Order Management memory leak causing OOM crashes,"Document Manager on uat-monitor-12 is consuming increasing memory over time, eventually hitting OOM and crashing. RSS grows from 464MB to 8GB within 9 hours. Environment: staging.",Application,"1. Generate a heap dump for analysis: use appropriate profiler.
2. Identify leaking objects/connections using profiling tools.
3. Check for unclosed database connections, event listeners, or cache growth.
4. Apply fix and deploy with memory limits.
5. Set up memory usage alerting at 80% of container limit.",Critical
SSO login failing for Analytics Dashboard,"Users cannot authenticate to SSO Portal via SSO (Ping Identity). Getting ""SAML assertion invalid"" error. 38 users affected. Started since yesterday ago.",Access Management,"1. Check SSO provider dashboard for service status.
2. Verify SAML/OIDC configuration — check certificate expiry.
3. Test SSO login in incognito mode to rule out cache issues.
4. If certificate expired, upload the new IdP certificate.
5. Check clock sync between IdP and SP (SAML is time-sensitive).
6. Enable SSO debug logging and review assertion content.",High
Prometheus build failures on prod-app-4,PagerDuty pipeline has been failing for the last 2 hours on qa-log-17. Error: EACCES. All deployments to QA are blocked. Team Compliance is affected.,Infrastructure,"1. Check ELK Stack system logs for root cause.
2. Restart the build agent/runner service.
3. Verify network connectivity to artifact repositories.
4. Clear workspace cache and retry the build.
5. If persistent, provision a new build agent.",Critical
MariaDB user permissions misconfigured for Infrastructure,Frontend members have accidental DROP permissions in PostgreSQL for the development environment. Discovered during failed query.,Database,"1. Review current grants for the affected database role.
2. Revoke excessive permissions immediately.
3. Grant only the minimum required permissions (principle of least privilege).
4. Create application-specific roles with scoped access.
5. Document the permission model and add to onboarding checklist.
6. Schedule quarterly access reviews.",Medium
